Gene.stable.ID	Gene.name
ENSCHAG00000009005	rnh1
ENSCHAG00000009034	smc1b
ENSCHAG00000009118	sp140l
ENSCHAG00000009162	nlrp1
ENSCHAG00000009241	nlrp1
ENSCHAG00000009276	nlrp1
ENSCHAG00000009290	nlrp1
ENSCHAG00000009366	nlrp1
ENSCHAG00000009417	c3
ENSCHAG00000009561	xcr1b.1
ENSCHAG00000009711	nlrp1
ENSCHAG00000009731	loxl2b
ENSCHAG00000009778	lgals3bpb
ENSCHAG00000009820	
ENSCHAG00000009832	cd300ld
ENSCHAG00000009843	jam3b
ENSCHAG00000009992	atp8b1
ENSCHAG00000009995	fam111a
ENSCHAG00000010041	pigr
ENSCHAG00000010066	cd300a
ENSCHAG00000010135	gimap4
ENSCHAG00000010153	gimap9
ENSCHAG00000010171	gimap9
ENSCHAG00000010181	fam111a
ENSCHAG00000010208	nlrc3
ENSCHAG00000010226	nlrc3
ENSCHAG00000010232	cntn1a
ENSCHAG00000010235	anapc15
ENSCHAG00000010252	jam3b
ENSCHAG00000010269	pycard
ENSCHAG00000010271	st8sia1
ENSCHAG00000010437	nlrp1
ENSCHAG00000010442	gimap5
ENSCHAG00000010470	trim29
ENSCHAG00000010517	trim16
ENSCHAG00000010523	hnrnpab
ENSCHAG00000010577	
ENSCHAG00000010601	alcam
ENSCHAG00000010603	psmg1
ENSCHAG00000010606	mis12
ENSCHAG00000010609	rnf170
ENSCHAG00000010620	
ENSCHAG00000010630	
ENSCHAG00000010678	rnf170
ENSCHAG00000010689	trim16
ENSCHAG00000010896	pkz
ENSCHAG00000010911	nitr2a
ENSCHAG00000010980	ncalda
ENSCHAG00000011013	NCS1
ENSCHAG00000011058	trim16
ENSCHAG00000011120	tnfrsf14
ENSCHAG00000011200	cd48
ENSCHAG00000011243	nlrp1
ENSCHAG00000011264	caprin2
ENSCHAG00000011265	cd209b
ENSCHAG00000011290	tnfrsf14
ENSCHAG00000011301	
ENSCHAG00000011307	
ENSCHAG00000011315	lec
ENSCHAG00000011317	caprin2
ENSCHAG00000011327	
ENSCHAG00000011437	caprin2
ENSCHAG00000011450	caprin2
ENSCHAG00000011461	l-2
ENSCHAG00000011488	caprin2
ENSCHAG00000011496	c1ql4
ENSCHAG00000011501	l-2
ENSCHAG00000011506	c1ql2
ENSCHAG00000011520	caprin2
ENSCHAG00000011614	tnfrsf14
ENSCHAG00000011628	caprin2
ENSCHAG00000011629	si:dkeyp-97b10.3
ENSCHAG00000011684	caprin2
ENSCHAG00000011705	caprin2
ENSCHAG00000011764	tnfrsf14
ENSCHAG00000011824	
ENSCHAG00000011856	rnf170
ENSCHAG00000011864	gp1bb
ENSCHAG00000011897	trim16
ENSCHAG00000011923	nadl1.1
ENSCHAG00000012077	b2m
ENSCHAG00000012090	b2m
ENSCHAG00000012093	b2m
ENSCHAG00000012116	prf1
ENSCHAG00000012122	b2m
ENSCHAG00000012131	b2m
ENSCHAG00000012138	b2m
ENSCHAG00000012141	rent1
ENSCHAG00000012145	b2m
ENSCHAG00000012172	b2m
ENSCHAG00000012180	rent1
ENSCHAG00000012229	dis3l
ENSCHAG00000012323	btnl2
ENSCHAG00000012353	btn2a1
ENSCHAG00000012415	nlrp1
ENSCHAG00000012422	plaat4
ENSCHAG00000012425	tnfrsf14
ENSCHAG00000012440	trim25
ENSCHAG00000012951	nlrp1
ENSCHAG00000012971	nlrp1
ENSCHAG00000013012	nlrp1
ENSCHAG00000013013	pycard
ENSCHAG00000013035	nlrp1
ENSCHAG00000013036	chuk
ENSCHAG00000013068	slamf9
ENSCHAG00000013247	
ENSCHAG00000013435	fam124b
ENSCHAG00000013436	pla2g4a
ENSCHAG00000013840	l-2
ENSCHAG00000013984	ube2t
ENSCHAG00000014001	CFAP77
ENSCHAG00000014133	
ENSCHAG00000014454	cuzd1.1
ENSCHAG00000014603	txnrd1
ENSCHAG00000014609	gimap5
ENSCHAG00000014654	trpm2
ENSCHAG00000014690	fam111a
ENSCHAG00000014695	fam111a
ENSCHAG00000014839	cntn5
ENSCHAG00000014846	siglec1
